name,price,Proj,$/pt,OVERDIFF,BE,weekdiff,name,,,
REECE WALSH,$497 ,45,37,8.5,21,24,REECE,WALSH,REECE WALSH,Reece Walsh
Jesse Arthars,$390 ,27.7,29,-1,45,-17.4,Jesse,Arthars,Jesse Arthars,Jesse Arthars
Gehamat shibasaki,$529 ,37.1,39,-1.8,30,7.1,Gehamat,shibasaki,Gehamat shibasaki,Gehamat Shibasaki
KOTONI STAGGS,$548 ,40.3,40,0,15,25.3,KOTONI,STAGGS,KOTONI STAGGS,Kotoni Staggs
josiah karapani,$331 ,34,24,9.6,2,32,josiah,karapani,josiah karapani,josiah karapani
EZRA MAM,$472 ,34,35,-0.7,39,-5,EZRA,MAM,EZRA MAM,Ezra Mam
ADAM REYNOLDS,$656 ,52.5,48,4.3,52,0.5,ADAM,REYNOLDS,ADAM REYNOLDS,Adam Reynolds
PAYNE HAAS,$890 ,67,65,1.5,63,4,PAYNE,HAAS,PAYNE HAAS,Payne Haas
Billy Walters,$399 ,20.8,29,-8.5,49,-28.2,Billy,Walters,Billy Walters,Billy Walters
PAT CARRIGAN,$752 ,55.4,55,0.1,73,-17.6,PAT,CARRIGAN,PAT CARRIGAN,Patrick Carrigan
Brendan Piakura,$403 ,29.2,30,-0.5,29,0.2,Brendan,Piakura,Brendan Piakura,Brendan Piakura
JORDAN RIKI,$526 ,44.5,39,5.8,44,0.5,JORDAN,RIKI,JORDAN RIKI,Jordan Riki
KOBE HETHERINGTON,$431 ,28.5,32,-3.2,30,-1.5,KOBE,HETHERINGTON,KOBE HETHERINGTON,KOBE HETHERINGTON
JACK GOSIEWSKI,$287 ,21.6,21,0.5,29,-7.4,JACK,GOSIEWSKI,JACK GOSIEWSKI,Jack Gosiewski
XAVIER WILLISON,$433 ,34,32,2.2,21,13,XAVIER,WILLISON,XAVIER WILLISON,Xavier Willison
Corey Jensen,$403 ,35.3,30,5.7,27,8.3,Corey,Jensen,Corey Jensen,Corey Jensen
Corey Paix,$368 ,37,27,9.9,23,14,Corey,Paix,Corey Paix,Cory Paix
SCOTT DRINKWATER,$549 ,54.7,40,14.3,64,-9.3,SCOTT,DRINKWATER,SCOTT DRINKWATER,Scott Drinkwater
MURRAY TAULAGI,$513 ,35.6,38,-2.2,50,-14.5,MURRAY,TAULAGI,MURRAY TAULAGI,Murray Taulagi
viliame vailea rd17,$441 ,32.4,32,0,22,10.4,viliame,vailea,viliame vailea,Viliami Vailea
zac laybutt,$379 ,34,28,6.1,35,-1,zac,laybutt,zac laybutt,zac laybutt
robert derby,$405 ,33.2,30,3.4,50,-16.8,robert,derby,robert derby,Robert Derby
TOM DEARDEN,$621 ,47.4,46,1.7,65,-17.6,TOM,DEARDEN,TOM DEARDEN,Tom Dearden
jaxon purdue,$488 ,45.8,36,9.9,52,-6.2,jaxon,purdue,jaxon purdue,Jaxon Purdue
coen hess,$452 ,41.8,33,8.6,17,24.8,coen,hess,coen hess,Coen Hess
REECE ROBSON,$600 ,50.7,44,6.6,64,-13.3,REECE,ROBSON,REECE ROBSON,Reece Robson
jordan mclean,$377 ,26.9,28,-0.8,28,-1.1,jordan,mclean,jordan mclean,Jordan McLean
JOHN BATEMAN,$611 ,48.8,45,3.8,49,-0.3,JOHN,BATEMAN,JOHN BATEMAN,John Bateman
JEREMIAH NANAI,$521 ,44.3,38,5.9,52,-7.8,JEREMIAH,NANAI,JEREMIAH NANAI,Jeremiah Nanai
REUBEN COTTER,$556 ,46.7,41,5.9,51,-4.3,REUBEN,COTTER,REUBEN COTTER,Reuben Cotter
