Player Number,Player
1,William Kennedy
1,Hamiso Tabuai-Fidow
2,Sione Katoa
2,Jamayne Isaako
3,Jesse Ramien
3,Max Feagai
4,Siosifa Talakai
4,Herbie Farnworth
5,Ronaldo Mulitalo
5,Jake Averillo
6,Braydon Trindall
6,Sean O'Sullivan
7,Nicholas Hynes
7,Isaiya Katoa
8,Addin Fonua-Blake
8,Francis Molo
9,Blayke Brailey
9,Jeremy Marshall-King
10,Oregon Kaufusi
10,Mark Nicholls
11,Briton Nikora
11,Kulikefu Finefeuiaki
12,Teig Wilton
12,Oryn Keeley
13,Cameron McInnes
13,Kurt Donoghoe
14,Daniel Atkinson
14,Aublix Tawha
15,Jesse Colquhoun
15,Connelly Lemuelu
16,Toby Rudolf
16,Ray Stone
17,Braden Hamlin-Uele
17,Josh Kerr
1,Fletcher Hunt
1,Ryan Papenhuyzen
2,Dominic Young
2,Grant Anderson
3,Dane Gagai
3,Joe Chan
4,Bradman Best
4,Nick Meaney
5,Greg Marzhew
5,Siulagi Tuimalatu-Brown
6,Jackson Hastings
6,Tyran Wishart
7,Jack Cogger
7,Jahrome Hughes
8,Jacob Saifiti
8,Tui Kamikamica
9,Phoenix Crossland
9,Bronson Garlick
10,Leo Thompson
10,Josh King
11,Dylan Lucas
11,Shawn Blore
12,Kai Pearce-Paul
12,Eliesa Katoa
13,Tyson Frizell
13,Nelson Asofa-Solomona
14,Jayden Brailey
14,Jonah Pezet
15,Mat Croker
15,Stefano Utoikamanu
16,Jermaine McEwen
16,Lazarus Vaalepu
17,Brodie Jones
17,Ativalu Lisati
1,Clinton Gutherson
1,James Tedesco
2,Tyrell Sloan
2,Daniel Tupou
3,Moses Suli
3,Billy Smith
4,Valentine Holmes
4,Robert Toia
5,Sione Finau
5,Mark Nawaqanitawase
6,Lyhkan King-Togia
6,Hugo Savala
7,Kyle Flanagan
7,Sam Walker
8,Emre Guler
8,Naufahu Whyte
9,Damien Cook
9,Connor Watson
10,David Klemmer
10,Lindsay Collins
11,Luciano Leilua
11,Angus Crichton
12,Jaydn Su'A
12,Salesi Foketi
13,Jack De Belin
13,Victor Radley
14,Jacob Liddle
14,Zach Dockar-Clay
15,Hamish Stewart
15,Blake Steep
16,Blake Lawrie
16,Egan Butcher
17,Michael Molo
17,Spencer Leniu
1,Scott Drinkwater
1,Connor Tracey
2,Robert Derby
2,Jacob Kiraz
3,Jaxon Purdue
3,Bronson Xerri
4,Zac Laybutt
4,Stephen Crichton
5,Braidon Burns
5,Enari Tuala
6,Jake Clifford
6,Matt Burton
7,Tom Dearden
7,Toby Sexton
8,Jordan McLean
8,Max King
9,Reece Robson
9,Reed Mahoney
10,Griffin Neame
10,Samuel Hughes
11,Reuben Cotter
11,Viliame Kikau
12,Jeremiah Nanai
12,Jacob Preston
13,Harrison Edwards
13,Bailey Hayward
14,Karl Lawton
14,Kurt Mann
15,Thomas Mikaele
15,Harry Hayes
16,Kai O'Donnell
16,Josh Curran
17,Coen Hess
17,Lachlan Galvin
1,Taine Tuaupiki
1,Sunia Turuva
2,Dallin Watene-Zelezniak
2,Charlie Staines
3,Adam Pompey
3,Adam Doueihi
4,Rocco Berry
4,Starford To'a
5,Roger Tuivasa-Sheck
5,Jeral Skelton
6,Chanel Harris-Tavita
6,Jarome Luai
7,Tanah Boyd
7,Latu Fainu
8,James Fisher-Harris
8,Terrell May
9,Wayde Egan
9,Apisai Koroisau
10,Jackson Ford
10,Fonua Pole
11,Leka Halasima
11,Samuela Fainu
12,Marata Niukore
12,Tony Sukkar
13,Erin Clark
13,Alex Twal
14,Te Maire Martin
14,Tristan Hope
15,Jacob Laban
15,Alex Seyfarth
16,Demitric Vaimauga
16,Sione Fainu
17,Tanner Stowers-Smith
17,Jack Bird
1,Isaiah Iongi
1,Daine Laurie
2,Zac Lomax
2,Thomas Jenkins
3,Jordan Samrani
3,Izack Tago
4,Sean Russell
4,Casey McLean
5,Josh Addo-Carr
5,Paul Alamoti
6,Dylan Brown
6,Blaize Talagi
7,Dean Hawkins
7,Brad Schneider
8,Jack Williams
8,Moses Leota
9,Joey Lussick
9,Mitch Kenny
10,Junior Paulo
10,Lindsay Smith
11,Charlie Guymer
11,Luke Garner
12,Kitione Kautoga
12,Isaiah Papali'i
13,J'maine Hopgood
13,Matthew Eisenhuth
14,Tallyn Da Silva
14,Jack Cole
15,Dylan Walker
15,Liam Henry
16,Matt Doorey
16,Luron Patea
17,Sam Tuivaiti
17,Mavrik Geyer
1,AJ Brimson
1,Reece Walsh
2,Jaylan De Groot
2,Josiah Karapani
3,Brian Kelly
3,Kotoni Staggs
4,Jojo Fifita
4,Gehamat Shibasaki
5,Phillip Sami
5,Deine Mariner
6,Kieran Foran
6,Ezra Mam
7,Jayden Campbell
7,Adam Reynolds
8,Moeaki Fotuaika
8,Xavier Willison
9,Sam Verrills
9,Ben Hunt
10,Reagan Campbell-Gillard
10,Payne Haas
11,Chris Randall
11,Brendan Piakura
12,Beau Fermor
12,Jordan Riki
13,Tino Fa'asuamaleaui
13,Patrick Carrigan
14,Jacob Alick-Wiencke
14,Billy Walters
15,Jaimin Jolliffe
15,Kobe Hetherington
16,David Fifita
16,Jack Gosiewski
17,Klese Haas
17,Tyson Smoothy
