Round,Player,Team,POS1,POS2, Price , Priced at ,, Projection , Diff 
1,Connor Watson,SYD,MID,HOK," 678,000 ", 50 ,, 56 , 6 
1,Terrell May,WST,MID,," 697,000 ", 52 ,, 66 , 15 
1,Kalyn Ponga,NEW,WFB,," 736,000 ", 55 ,, 59 , 5 
1,Matty Nicholson,CAN,EDG,," 450,000 ", 33 ,,,
1,Jamie Humphreys,SOU,HLF,," 403,000 ", 30 ,, 49 , 19 
1,Nick Meaney,BYE,CTR,WFB," 581,000 ", 43 ,, 42 , (1)
1,Ryan Papenhuyzen,BYE,WFB,," 562,000 ", 42 ,, 42 , 1 
1,Xavier Savage,CAN,WFB,," 423,000 ", 31 ,, 33 , 2 
1,Sitili Tupouniua,CBY,MID,EDG," 439,000 ", 33 ,, 33 , 1 
1,Dylan Lucas,NEW,EDG,CTR," 677,000 ", 50 ,, 52 , 3 
1,Wayde Egan,WAR,HOK,," 569,000 ", 42 ,, 42 , 0 
1,Christian Tuipulotu,SGI,WFB,," 464,000 ", 34 ,, 32 , (3)
1,Eliesa Katoa,BYE,EDG,," 711,000 ", 53 ,, 51 , (1)
1,Payne Haas,BRI,MID,," 844,000 ", 63 ,, 62 , 0 
1,Isaiya Katoa,DOL,HLF,," 559,000 ", 41 ,, 43 , 2 
1,Fletcher Sharpe,NEW,WFB,HLF," 562,000 ", 42 ,, 44 , 2 
1,Daly Cherry-Evans,MAN,HLF,," 749,000 ", 55 ,, 51 , (5)
1,Greg Marzhew,NEW,WFB,," 497,000 ", 37 ,, 44 , 7 
1,Jack Howarth,BYE,EDG,CTR," 478,000 ", 35 ,, 40 , 5 
1,Nathan Cleary,PEN,HLF,," 866,000 ", 64 ,, 71 , 8 
1,Blayke Brailey,CRO,HOK,," 601,000 ", 45 ,, 44 , (1)
1,Toby Couchman,SGI,MID,EDG," 547,000 ", 41 ,, 52 , 12 
1,Kayal Iro,CRO,CTR,," 611,000 ", 45 ,, 44 , (2)
1,Bradman Best,NEW,CTR,," 573,000 ", 42 ,, 47 , 5 
1,Tyrell Sloan,SGI,WFB,," 496,000 ", 37 ,,,
1,Matthew Timoko,CAN,CTR,," 538,000 ", 40 ,, 40 , 1 
1,Herbie Farnworth,DOL,CTR,," 734,000 ", 54 ,, 51 , (3)
1,Corey Horsburgh,CAN,MID,," 566,000 ", 42 ,, 53 , 12 
1,Adam Elliott,NEW,MID,," 617,000 ", 46 ,, 36 , (9)
1,Viliame Kikau,CBY,EDG,," 528,000 ", 39 ,, 39 , 0 
1,Connor Tracey,CBY,WFB,," 521,000 ", 39 ,, 40 , 2 
1,Jason Saab,MAN,WFB,," 444,000 ", 33 ,, 36 , 3 
1,James Fisher-Harris,WAR,MID,," 605,000 ", 45 ,, 50 , 6 
1,Lindsay Smith,PEN,MID,," 623,000 ", 46 ,, 44 , (2)
1,Tom Gilbert,DOL,MID,EDG," 529,000 ", 39 ,, 50 , 11 
1,Briton Nikora,CRO,EDG,," 696,000 ", 52 ,, 53 , 2 
1,Cameron Munster,BYE,HLF,," 597,000 ", 44 ,, 54 , 10 
1,Tom Starling,CAN,HOK,," 468,000 ", 35 ,, 46 , 12 
1,Cameron McInnes,CRO,MID,," 703,000 ", 52 ,, 52 , 1 
1,Hudson Young,CAN,EDG,," 725,000 ", 54 ,, 51 , (3)
1,Zac Hosking,CAN,EDG,," 601,000 ", 45 ,, 49 , 5 
1,Alex Twal,WST,MID,," 541,000 ", 40 ,, 46 , 6 
1,Addin Fonua-Blake,CRO,MID,," 788,000 ", 58 ,, 54 , (4)
1,Jye Gray,SOU,HLF,WFB," 557,000 ", 41 ,, 44 , 3 
1,Nicholas Hynes,CRO,HLF,," 799,000 ", 59 ,, 49 , (10)
1,Jaydn Su'A,SGI,EDG,," 644,000 ", 48 ,, 51 , 3 
1,Max King,CBY,MID,," 657,000 ", 49 ,, 43 , (6)
1,Valentine Holmes,SGI,CTR,," 669,000 ", 50 ,, 42 , (7)
1,Teig Wilton,CRO,EDG,," 596,000 ", 44 ,, 51 , 8 
1,Jack De Belin,SGI,MID,," 629,000 ", 47 ,, 50 , 4 
1,Lachlan Galvin,WST,HLF,," 690,000 ", 51 ,, 48 , (3)
1,Jesse Ramien,CRO,CTR,," 601,000 ", 45 ,, 42 , (2)
1,Sebastian Kris,CAN,CTR,WFB," 430,000 ", 32 ,, 33 , 2 
1,Robert Toia,SYD,CTR,," 278,000 ", 21 ,, 37 , 17 
1,Isaah Yeo,PEN,MID,," 866,000 ", 64 ,, 63 , (1)
1,Angus Crichton,SYD,EDG,," 713,000 ", 53 ,, 57 , 5 
1,Max Plath,DOL,HOK,MID," 704,000 ", 52 ,, 49 , (3)
1,Xavier Coates,BYE,WFB,," 466,000 ", 35 ,, 32 , (2)
1,Emre Guler,SGI,MID,," 399,000 ", 30 ,, 37 , 7 
1,Jesse Arthars,BRI,CTR,WFB," 375,000 ", 28 ,, 28 , 0 
1,Harry Hayes,CBY,MID,," 415,000 ", 31 ,,,
1,Patrick Carrigan,BRI,MID,," 773,000 ", 57 ,, 57 , 0 
1,Matt Burton,CBY,HLF,," 701,000 ", 52 ,, 59 , 7 
1,Haumole Olakau'atu,MAN,EDG,," 691,000 ", 51 ,, 52 , 2 
1,John Bateman,NQL,EDG,," 607,000 ", 45 ,, 53 , 8 
1,Kai Pearce-Paul,NEW,EDG,," 601,000 ", 45 ,, 51 , 7 
1,Josh King,BYE,MID,," 519,000 ", 38 ,, 34 , (4)
1,Paul Alamoti,PEN,CTR,WFB," 505,000 ", 37 ,, 40 , 2 
1,Taniela Paseka,MAN,MID,," 488,000 ", 36 ,, 36 , (0)
1,Peter Mamouzelos,SOU,HOK,," 330,000 ", 24 ,, 38 , 13 
1,J'maine Hopgood,PAR,MID,EDG," 731,000 ", 54 ,, 63 , 10 
1,Jamal Fogarty,CAN,HLF,," 705,000 ", 52 ,, 60 , 8 
1,Samuela Fainu,WST,MID,EDG," 542,000 ", 40 ,, 43 , 3 
