Player Number,Player
1,Jye Gray
1,Daine Laurie
2,Alex Johnston
2,Paul Alamoti
3,Jack Wighton
3,Izack Tago
4,Isaiah Tass
4,Thomas Jenkins
5,Mikaele Ravalawa
5,Brian To'o
6,Cody Walker
6,Jack Cole
7,Jamie Humphreys
7,Trent Toelau
8,Sean Keppie
8,Moses Leota
9,Peter Mamouzelos
9,Mitch Kenny
10,Davvy Moale
10,Lindsay Smith
11,Keaon Koloamatangi
11,Scott Sorensen
12,Jai Arrow
12,Liam Martin
13,Tallis Duncan
13,Isaah Yeo
14,Jayden Sullivan
14,Blaize Talagi
15,Siliva Havili
15,Isaiah Papali'i
16,Liam Le Blanc
16,Liam Henry
17,Tevita Tatola
17,Luke Garner
1,James Tedesco
1,Jaylan De Groot
2,Daniel Tupou
2,Tony Francis
3,Mark Nawaqanitawase
3,Brian Kelly
4,Robert Toia
4,Phillip Sami
5,Dominic Young
5,Jojo Fifita
6,Sandon Smith
6,AJ Brimson
7,Chad Townsend
7,Jayden Campbell
8,Naufahu Whyte
8,Moeaki Fotuaika
9,Zach Dockar-Clay
9,Sam Verrills
10,Spencer Leniu
10,Reagan Campbell-Gillard
11,Angus Crichton
11,Klese Haas
12,Siua Wong
12,Beau Fermor
13,Victor Radley
13,Tino Fa'asuamaleaui
14,Hugo Savala
14,Chris Randall
15,Blake Steep
15,David Fifita
16,Nat Butcher
16,Iszac Fa'asuamaleaui
17,Lindsay Collins
17,Brock Gray
1,Hamiso Tabuai-Fidow
1,Reece Walsh
2,Jamayne Isaako
2,Selwyn Cobbo
3,Jake Averillo
3,Kotoni Staggs
4,Herbie Farnworth
4,Gehamat Shibasaki
5,Jack Bostock
5,Jesse Arthars
6,Kodi Nikorima
6,Ben Hunt
7,Isaiya Katoa
7,Adam Reynolds
8,Daniel Saifiti
8,Patrick Carrigan
9,Jeremy Marshall-King
9,Cory Paix
10,Felise Kaufusi
10,Payne Haas
11,Kulikefu Finefeuiaki
11,Jack Gosiewski
12,Max Plath
12,Jordan Riki
13,Tom Gilbert
13,Kobe Hetherington
14,Kurt Donoghoe
14,Billy Walters
15,Oryn Keeley
15,Corey Jensen
16,Mark Nicholls
16,Xavier Willison
17,Ray Stone
17,Brendan Piakura
1,Clinton Gutherson
1,Ryan Papenhuyzen
2,Tyrell Sloan
2,Will Warbrick
3,Moses Suli
3,Jack Howarth
4,Valentine Holmes
4,Grant Anderson
5,Christian Tuipulotu
5,Xavier Coates
6,Kyle Flanagan
6,Cameron Munster
7,Lachlan Ilias
7,Tyran Wishart
8,Toby Couchman
8,Stefano Utoikamanu
9,Damien Cook
9,Harry Grant
10,Emre Guler
10,Josh King
11,Luciano Leilua
11,Shawn Blore
12,Jaydn Su'A
12,Eliesa Katoa
13,Jack De Belin
13,Trent Loiero
14,Jacob Liddle
14,Bronson Garlick
15,David Klemmer
15,Alec MacDonald
16,Hamish Stewart
16,Tui Kamikamica
17,Dylan Egan
17,Lazarus Vaalepu
1,Scott Drinkwater
1,Kaeo Weekes
2,Robert Derby
2,Savelio Tamale
3,Jaxon Purdue
3,Matthew Timoko
4,Viliami Vailea
4,Sebastian Kris
5,Murray Taulagi
5,Xavier Savage
6,Tom Dearden
6,Ethan Strange
7,Jake Clifford
7,Jamal Fogarty
8,Jordan McLean
8,Josh Papalii
9,Reece Robson
9,Tom Starling
10,Jason Taumalolo
10,Joseph Tapine
11,John Bateman
11,Hudson Young
12,Kai O'Donnell
12,Matty Nicholson
13,Reuben Cotter
13,Corey Horsburgh
14,Sam McIntyre
14,Owen Pattie
15,Jeremiah Nanai
15,Simi Sasagi
16,Griffin Neame
16,Trey Mooney
17,Coen Hess
17,Ata Mariota
1,William Kennedy
1,Connor Tracey
2,Samuel Stonestreet
2,Blake Wilson
3,Jesse Ramien
3,Bronson Xerri
4,Kayal Iro
4,Stephen Crichton
5,Ronaldo Mulitalo
5,Marcelo Montoya
6,Braydon Trindall
6,Bailey Hayward
7,Nicholas Hynes
7,Toby Sexton
8,Addin Fonua-Blake
8,Max King
9,Blayke Brailey
9,Reed Mahoney
10,Oregon Kaufusi
10,Daniel Suluka-Fifita
11,Briton Nikora
11,Josh Curran
12,Teig Wilton
12,Jacob Preston
13,Cameron McInnes
13,Jaeman Salmon
14,Daniel Atkinson
14,Kurt Mann
15,Siosifa Talakai
15,Harry Hayes
16,Thomas Hazelton
16,Sitili Tupouniua
17,Tuku Hau Tapuha
17,Kurtis Morrin
1,Tom Trbojevic
1,Isaiah Iongi
2,Jason Saab
2,Sean Russell
3,Tolutau Koula
3,Will Penisini
4,Reuben Garrick
4,Zac Lomax
5,Lehi Hopoate
5,Josh Addo-Carr
6,Luke Brooks
6,Dylan Brown
7,Daly Cherry-Evans
7,Dean Hawkins
8,Josh Aloiai
8,Jack Williams
9,Jazz Tevaga
9,Joey Lussick
10,Siosiua Taukeiaho
10,Junior Paulo
11,Haumole Olakau'atu
11,Shaun Lane
12,Ben Trbojevic
12,Kitione Kautoga
13,Jake Trbojevic
13,J'maine Hopgood
14,Jake Simpkin
14,Ryley Smith
15,Corey Waddell
15,Matt Doorey
16,Ethan Bullemor
16,Joe Ofahengaue
17,Nathan Brown
17,Dan Keir
1,Jahream Bula
